52,1,15,بنغازي,3,بنغازي,8,بنغازي,طارق صقر ادم الجروشي,ذكر,العام,3,8,بنغازي  ,0
53,1,5,العزيزية,12,العزيزية,64,الناصرية,جمعة الصويعي السائح الطيف,ذكر,العام,1,64,الناصرية ,0
54,1,10,اوباري,7,اوباري ومرزق,30,تمسة - مجدول - ام زوير - تربو,عبدالحفيظ ابوزيد احمد عبدالغني,ذكر,العام,2,30,زويلة,0
55,1,14,البيضاء,2,البيضاء,5,البيضاء,ادم صالح ادم بوصخرة,ذكر,العام,3,5,البيضاء,0
56,1,14,البيضاء,2,البيضاء,5,البيضاء,موسى صالح ابراهيم الفرجاني,ذكر,العام,3,5,البيضاء,0
57,1,14,البيضاء,2,البيضاء,5,البيضاء,عبدالرحمن علي محمد عبدالرحمن,ذكر,العام,3,5,البيضاء,0
58,1,9,سبها,6,سبها والشاطيء,22,سبها,يامن احمد علي احمودة,ذكر,العام,2,22,سبها,0
59,1,9,سبها,6,سبها والشاطيء,23,وادي الشاطيء,عبدالحكيم محمد عبدالقادر خلف الله,ذكر,العام,2,23,وادي الشاطيء,0
62,1,6,الزاوية,13,الزاوية,75,رقدالين + زلطن,سالم محمد عمر الوريث,ذكر,العام,1,75,رقدالين + زلطن,0
64,1,6,الزاوية,13,الزاوية,70,صبراتة,علي الطاهر عبدالله ابوالقاسم,ذكر,العام,1,70,صبراتة,0
65,1,2,مصراتة,9,مصراتة,47,مصراتة,سليمان محمد ابوبكر البيوضي,ذكر,العام,1,47,مصراتة ,0
66,1,2,مصراتة,9,مصراتة,47,مصراتة,فتحي احمد محمد الغزالي,ذكر,العام,1,47,مصراتة ,0
67,1,3,الخمس,10,الخمس,51,مسلاتة,عدنان فوزي محمد الشعاب,ذكر,العام,1,51,مسلاتة,0
68,1,15,بنغازي,3,بنغازي,8,بنغازي,زاهية فرج عطيه علي,انثى,النساء,3,80,بنغازي,0
69,1,15,بنغازي,3,بنغازي,8,بنغازي,عبدالرحيم زنقي بوسيف الجنجان,ذكر,العام,3,8,بنغازي  ,0
72,1,15,بنغازي,3,بنغازي,8,بنغازي,محمد عبدالله محمد بوسدرة,ذكر,العام,3,8,بنغازي  ,0
73,1,15,بنغازي,3,بنغازي,8,بنغازي,احمد علي خميس سعيد,ذكر,العام,3,8,بنغازي  ,0
74,1,3,الخمس,10,الخمس,54,قصر الاخيار,علي صالح عبدالسلام عرفه,ذكر,العام,1,54,قصر الأخيار,0
75,1,9,سبها,6,سبها والشاطيء,23,وادي الشاطيء,عمر محمد امحمد ابوخزام,ذكر,العام,2,23,وادي الشاطيء,0
76,1,9,سبها,6,سبها والشاطيء,23,وادي الشاطيء,سالم احمد ميهوب القطعي,ذكر,العام,2,23,وادي الشاطيء,0
77,1,9,سبها,6,سبها والشاطيء,23,وادي الشاطيء,عمر محمد عمر اكديويش,ذكر,العام,2,23,وادي الشاطيء,0
78,1,9,سبها,6,سبها والشاطيء,23,وادي الشاطيء,خديجة المهدي بشير الاخضر,انثى,النساء,2,86,وادي الشاطيء,0
79,1,6,الزاوية,13,الزاوية,70,صبراتة,الطاهر المبروك عيسى الدوادي,ذكر,العام,1,70,صبراتة,0
80,1,6,الزاوية,13,الزاوية,71,العجيلات,مفتاح خليفة مصباح عروة,ذكر,العام,1,71,العجيلات,0
81,1,4,طرابلس,11,طرابلس,56,تاجوراء,عبداللطيف عبدالسلام محمد العالم,ذكر,العام,1,56,تاجورء,0
82,1,5,العزيزية,12,العزيزية,66,سواني بن آدم,علي منصور علي ادم,ذكر,العام,1,66,سواني بن آدم ,0
83,1,5,العزيزية,12,العزيزية,63,الماية,انور المختار بشير بلعيد,ذكر,العام,1,63,الماية,0
84,1,5,العزيزية,12,العزيزية,66,سواني بن آدم,مفتاح عامر الهادي سيف النصر,ذكر,العام,1,66,سواني بن آدم ,0
85,1,15,بنغازي,3,بنغازي,8,بنغازي,محمد عبدالله علي المغيربى,ذكر,العام,3,8,بنغازي  ,0
86,1,12,طبرق,1,طبرق,1,طبرق,محي الدين محمد عبدالله الاخواني,ذكر,العام,3,1,طبرق,0
87,1,2,مصراتة,9,مصراتة,47,مصراتة,محمد حسن احمد الفقيه,ذكر,العام,1,47,مصراتة ,0
88,1,2,مصراتة,9,مصراتة,47,مصراتة,حنان محمد عبدالله شلوف,انثى,النساء,1,90,مصراتة,0
89,1,2,مصراتة,9,مصراتة,47,مصراتة,فتحي علي عبدالسلام باشاغا,ذكر,العام,1,47,مصراتة ,0
90,1,1,سرت,5,سرت والجفرة,19,السدرة,محمود عبدالرسول صالح النعاس,ذكر,العام,1,19,السدرة,0
91,1,14,البيضاء,2,البيضاء,4,شحات,فوزي عبدالسلام محمد حسن,ذكر,العام,3,4,شحات,0
92,1,14,البيضاء,2,البيضاء,6,المرج,عمر حماد صالح مدينه,ذكر,العام,3,6,المرج,0
93,1,14,البيضاء,2,البيضاء,6,المرج,سلطنة مسعود بوبكر عبدالرحيم,انثى,النساء,3,78,شحات - البيضاء - المرج  ,0
94,1,14,البيضاء,2,البيضاء,4,شحات,حسن عبدالرحيم علي موسى,ذكر,العام,3,4,شحات,0
95,1,14,البيضاء,2,البيضاء,6,المرج,مراجع سعد محمد محمود,ذكر,العام,3,6,المرج,0
96,1,14,البيضاء,2,البيضاء,4,شحات,سليمان طاهر عبداللطيف محمد عرعاز,ذكر,العام,3,4,شحات,0
97,1,14,البيضاء,2,البيضاء,6,المرج,احمد خليفة محمد ادم بوهلالة,ذكر,العام,3,6,المرج,0
98,1,14,البيضاء,2,البيضاء,5,البيضاء,عيسى عبدالله يونس محمد الصغير,ذكر,العام,3,5,البيضاء,0
99,1,16,اجدابيا,4,اجدابيا,13,اجدابيا,احمد محمد مهدي ارويعى,ذكر,العام,3,13,اجدابيا,0
100,1,10,اوباري,7,اوباري ومرزق,24,اوباري,عبدالله صالح صالح علي,ذكر,العام,2,24,أوباري,0
101,1,10,اوباري,7,اوباري ومرزق,24,اوباري,احمد محمد علي محمد الانصاري,ذكر,العام,2,24,أوباري,0
102,1,10,اوباري,7,اوباري ومرزق,26,وادي عتبة,عبدالسلام الحاج حسن محمدين كرمي,ذكر,العام,2,26,وادي عتبة,0
103,1,8,الجبل 2,8,غريان,37,الرحيبات,مصطفى خليفة علي محمد,ذكر,العام,1,37,الرحيبات,0
104,1,15,بنغازي,3,بنغازي,8,بنغازي,خالد عبدالله خالد عبدالرحمن,ذكر,العام,3,8,بنغازي  ,0
105,1,15,بنغازي,3,بنغازي,9,توكرة,مفتاح موسى سعد حامد,ذكر,العام,3,9,توكرة,0
107,1,17,الكفرة,4,اجدابيا,18,الكفرة والقرى المحيطة بها,خليل عبدالرحيم محمد الفضيل,ذكر,العام,3,18,الكفرة والقرى المحيطة بها,0
109,1,15,بنغازي,3,بنغازي,8,بنغازي,عادل احمد محمد الفرجاني,ذكر,العام,3,8,بنغازي  ,0
110,1,15,بنغازي,3,بنغازي,8,بنغازي,احمد شيهوب ابراهيم الواحدي,ذكر,العام,3,8,بنغازي  ,0
111,1,15,بنغازي,3,بنغازي,9,توكرة,اسامة عبدالله محمد ابوبكر,ذكر,العام,3,9,توكرة,0
112,1,3,الخمس,10,الخمس,54,قصر الاخيار,جمعة محمد علي طيطش,ذكر,العام,1,54,قصر الأخيار,0
113,1,1,سرت,9,مصراتة,48,بني وليد,عمر علي عمر ابوخنجر,ذكر,العام,1,48,بني وليد,0
114,1,6,الزاوية,13,الزاوية,69,الزاوية,محمد احمد محمد المحمودي,ذكر,العام,1,69,الزاوية,0
115,1,4,طرابلس,11,طرابلس,58,طرابلس المركز,مسعود محمد مسعود ابوجبهه,ذكر,العام,1,58,طرابلس المركز,0
116,1,1,سرت,9,مصراتة,48,بني وليد,عبدالله محمد ابوعزوم عبدالنبي بلخير,ذكر,العام,1,48,بني وليد,0
117,1,3,الخمس,10,الخمس,54,قصر الاخيار,عبدالرحمن عبدالسلام عبدالسلام خليفة,ذكر,العام,1,54,قصر الأخيار,0
118,1,4,طرابلس,11,طرابلس,60,جنزور,اسامة عبدالجليل احمد عبدالهادي,ذكر,العام,1,60,جنزور,0
119,1,5,العزيزية,12,العزيزية,65,العزيزية,سالم عبدالله فرج ابوحلالة,ذكر,العام,1,65,العزيزية,0
120,1,5,العزيزية,12,العزيزية,63,الماية,خالد مفتاح علي الاسود,ذكر,العام,1,63,الماية,0
121,1,5,العزيزية,12,العزيزية,63,الماية,ابوالقاسم علي ابوالقاسم الجعيدي,ذكر,العام,1,63,الماية,0
122,1,2,مصراتة,9,مصراتة,47,مصراتة,عمر سالم رمضان الصنكي,ذكر,العام,1,47,مصراتة ,0
123,1,2,مصراتة,9,مصراتة,47,مصراتة,علي حسن محمد صوان,ذكر,العام,1,47,مصراتة ,0
124,1,2,مصراتة,9,مصراتة,47,مصراتة,محمد عبدالكريم محمد الرعيض,ذكر,العام,1,47,مصراتة ,0
125,1,2,مصراتة,9,مصراتة,47,مصراتة,علي مصطفى بشير ابوفناس,ذكر,العام,1,47,مصراتة ,0
126,1,2,مصراتة,9,مصراتة,47,مصراتة,نجم الدين محمد علي الناقوزي,ذكر,العام,1,47,مصراتة ,0
127,1,8,الجبل 2,8,غريان,44,كاباو,محمد عطية محمد عمر,ذكر,العام,1,44,كاباو,0
128,1,8,الجبل 2,8,غريان,38,الرجبان,عبدالمنعم عمر خليفة المروم,ذكر,العام,1,38,الرجبان,0
129,1,8,الجبل 2,8,غريان,34,ككلة + القلعة,اكرم عيسى عمر خليفة,ذكر,العام,1,34,ككلة + القلعة,0
130,1,3,الخمس,10,الخمس,52,الخمس الساحل,عبدالسلام فرج ابراهيم يحي,ذكر,العام,1,52,الخمس الساحل,0
131,1,12,طبرق,1,طبرق,1,طبرق,امساعد محمد عبدالرازق هارون,ذكر,العام,3,1,طبرق,0
132,1,12,طبرق,1,طبرق,1,طبرق,زيدان يوسف سالم شعيب,ذكر,العام,3,1,طبرق,0
133,1,12,طبرق,1,طبرق,1,طبرق,حسين الشارف عبدالله محمد,ذكر,العام,3,1,طبرق,0
134,1,12,طبرق,1,طبرق,1,طبرق,هيوب عبدالستار هيوب عمر,ذكر,العام,3,1,طبرق,0
135,1,10,اوباري,7,اوباري ومرزق,25,غات,صالح همه محمد بكده,ذكر,العام,2,25,غات,0
136,1,10,اوباري,7,اوباري ومرزق,24,اوباري,عبدالقادر حسن يحي سليمان,ذكر,العام,2,24,أوباري,0
137,1,10,اوباري,7,اوباري ومرزق,24,اوباري,عيسى محمد عبدالله وردكو,ذكر,العام,2,24,أوباري,0
138,1,14,البيضاء,2,البيضاء,5,البيضاء,عبدالباسط علي عيسى سعد الخرم,ذكر,العام,3,5,البيضاء,0
140,1,14,البيضاء,2,البيضاء,5,البيضاء,محمد عبدالله الطيف عبدالله بوعرقوب,ذكر,العام,3,5,البيضاء,0
141,1,14,البيضاء,2,البيضاء,5,البيضاء,عبدالمولى محمد عبدالدائم صالح بوزهرة,ذكر,العام,3,5,البيضاء,0
142,1,14,البيضاء,2,البيضاء,7,قصر ليبيا,عبدالفتاح اخليفة ادم علي,ذكر,العام,3,7,قصر ليبيا,0
143,1,14,البيضاء,2,البيضاء,5,البيضاء,سليمان مصطفى ابراهيم المصري,ذكر,العام,3,5,البيضاء,0
144,1,14,البيضاء,2,البيضاء,6,المرج,حسين علي اسماعيل عبدالله,ذكر,العام,3,6,المرج,0
145,1,14,البيضاء,2,البيضاء,6,المرج,حسن احمد صالح عيسى,ذكر,العام,3,6,المرج,0
146,1,14,البيضاء,2,البيضاء,7,قصر ليبيا,المبروك بدر حامد ارجيعة,ذكر,العام,3,7,قصر ليبيا,0
147,1,14,البيضاء,2,البيضاء,4,شحات,سعد فرج سعد علي الدويلي,ذكر,العام,3,4,شحات,0
148,1,14,البيضاء,2,البيضاء,7,قصر ليبيا,عبدالحفيظ محمد عبدالجواد مصطفى الدرسي,ذكر,العام,3,7,قصر ليبيا,0
149,1,14,البيضاء,2,البيضاء,5,البيضاء,عبدالسلام التواتي حسن السنوسي,ذكر,العام,3,5,البيضاء,0
150,1,14,البيضاء,2,البيضاء,5,البيضاء,اشرف السعداوي بالحمد السعداوي,ذكر,العام,3,5,البيضاء,0
151,1,14,البيضاء,2,البيضاء,6,المرج,بالقاسم محمد بوبكر علي الجارد,ذكر,العام,3,6,المرج,0
154,1,16,اجدابيا,4,اجدابيا,13,اجدابيا,مفتاح علي حميد سعيد,ذكر,العام,3,13,اجدابيا,0
155,1,16,اجدابيا,4,اجدابيا,13,اجدابيا,خميس عوض الزوام حسن,ذكر,العام,3,13,اجدابيا,0
156,1,16,اجدابيا,4,اجدابيا,13,اجدابيا,سليمان احمد محمد البرانى,ذكر,العام,3,13,اجدابيا,0
157,1,16,اجدابيا,4,اجدابيا,13,اجدابيا,جبريل حسن جبريل حسن,ذكر,العام,3,13,اجدابيا,0
158,1,3,الخمس,10,الخمس,51,مسلاتة,عبدالمنعم فرج علي الفقيه,ذكر,العام,1,51,مسلاتة,0
159,1,3,الخمس,10,الخمس,51,مسلاتة,الحسين محمد محمود عبدالصمد,ذكر,العام,1,51,مسلاتة,0
160,1,8,الجبل 2,8,غريان,41,مزدة,المبروك علي مسعود الشويشين الجلد,ذكر,العام,1,41,مزدة,0
504,1,2,مصراتة,9,مصراتة,49,زليتن,عبدالله ابراهيم محمد الكشر,ذكر,العام,1,49,زليتن,0
505,1,3,الخمس,10,الخمس,50,ترهونة,عبدالمنعم محمد سالم محمد,ذكر,العام,1,50,ترهونة,0
506,1,6,الزاوية,13,الزاوية,75,رقدالين + زلطن,عادل مسعود محمد سوف,ذكر,العام,1,75,رقدالين + زلطن,0
508,1,6,الزاوية,13,الزاوية,69,الزاوية,البشير صالح محمد حماد,ذكر,العام,1,69,الزاوية,0
509,1,6,الزاوية,13,الزاوية,69,الزاوية,عبدالنبي البشير ابوالقاسم عبدالمولى,ذكر,العام,1,69,الزاوية,0
511,1,6,الزاوية,13,الزاوية,69,الزاوية,محمد التوهامي الطاهر سعيد,ذكر,العام,1,69,الزاوية,0
512,1,6,الزاوية,13,الزاوية,69,الزاوية,الصادق عبدالحميد نصر السائح,ذكر,العام,1,69,الزاوية,0
513,1,6,الزاوية,13,الزاوية,74,الجميل,امحمد حسين امحمد راجح,ذكر,العام,1,74,الجميل,0
514,1,6,الزاوية,13,الزاوية,71,العجيلات,شفيق مسعود خليفه الاطرش,ذكر,العام,1,71,العجيلات,0
516,1,6,الزاوية,13,الزاوية,70,صبراتة,عبدالرحمن عمر الدوادي الحمودي,ذكر,العام,1,70,صبراتة,0
517,1,6,الزاوية,13,الزاوية,70,صبراتة,حسين محمد ابوالقاسم سويد,ذكر,العام,1,70,صبراتة,0
518,1,6,الزاوية,13,الزاوية,75,رقدالين + زلطن,مصطفى امحمد الصغير القدر,ذكر,العام,1,75,رقدالين + زلطن,0
519,1,6,الزاوية,13,الزاوية,71,العجيلات,فرج عمران البي شليبك,ذكر,العام,1,71,العجيلات,0
520,1,6,الزاوية,13,الزاوية,74,الجميل,محمد سعيد سالم كعال,ذكر,العام,1,74,الجميل,0
