31003,مدرسة الشهيد رجب بوحويش,الشرقية,12,طبرق,الأولى,1,1,طبرق,بالخاثر,طبرق,عام,23.559153,32.129163,
31002,مدرسة الفضيل بوعمر,الشرقية,12,طبرق,الأولى,1,1,طبرق,القرضبة,طبرق,عام,23.481852,32.140401,
31001,مدرسة شهداء عين الغزالة,الشرقية,12,طبرق,الأولى,1,1,طبرق,عين الغزالة,طبرق,عام,23.356148,32.144404,
32033,النهضة,الشرقية,13,درنة,الأولى,1,3,درنة,بومنصور,درنة,عام,23.173409,32.240541,
14273,مدرسة جعفر بن ابي طالب,الغربية,4,طرابلس,الحادية عشر,11,62,عين زارة,عين زاره,عين زاره,عام,,,NN
32049,أبو الفرائس,الشرقية,13,درنة,الأولى,1,3,درنة,أبو الفرائس,درنة,عام,23.173409,32.240541,
32027,الشهيد علي حسن الجابر,الشرقية,13,درنة,الأولى,1,3,درنة,المغار,درنة,عام,23.073106,32.568948,
32048,ام احفين,الشرقية,13,درنة,الأولى,1,3,درنة,أم الرزم,درنة,عام,23.073106,32.568948,
14274,خلوة فطرة,الغربية,4,طرابلس,الحادية عشر,11,62,عين زارة,عين زاره,عين زاره,عام,,,NN
22072,ايسين,الجنوبية,10,اوباري,السابعة,7,25,غات,غات,غات,عام,,,N
31031,مدرسة الشهيد بوعطيوة,الشرقية,12,طبرق,الأولى,1,1,طبرق,الجهاد,طبرق,عام,23.963834,32.067871,
31030,مدرسة الجهاد,الشرقية,12,طبرق,الأولى,1,1,طبرق,الجهاد,طبرق,عام,23.95672,32.073203,
31013,مدرسة الانتصار,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,23.95531,32.090935,
31012,مدرسة طبرق الثانوية,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,23.952533,32.092721,
31011,مدرسة اسماء ينت ابي بكر,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,23.951761,32.083786,
