17024,عقبة بن نافع,الغربية,7,الجبل 1,الثامنة,8,32,غريان,وادي القواسم,غريان,عام,13.11139,32.136973,
14200,قرقارش الثانوية,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,قرقارش,حي الاندلس,عام,13.110917,32.865022,
14224,الكفاح,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.110181,32.859845,
14214,سهى بشارة,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.109999,32.860871,
14225,إبن ماجد,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.106681,32.856485,
14219,الشهيد رمضان السويحلي,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.106391,32.857625,
14217,الغدير,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.097706,32.817122,
22012,مدرسة توش الابتدائية الاعدادية,الجنوبية,10,اوباري,السابعة,7,24,اوباري,توش,توش,عام,13.097653,26.540231,
14209,تاقرفت,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.097476,32.840681,
14220,النضال,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.095522,32.855801,
14193,الغد المشرق,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,قرقارش,حي الاندلس,عام,13.095222,32.861781,
14213,راية الحرية,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.094371,32.855711,
14223,الكرامة,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.094088,32.856091,
15021,الكريمية الثانوية,الغربية,5,العزيزية,التانية عشر,12,66,سواني بن أدم,الكريمية,السواني,عام,13.093404,32.757528,
14221,صقور فبراير,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.093217,32.849805,
14222,عمر المختار,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.092952,32.849109,
14212,البيروني,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.092842,32.846292,
14210,سواعد الوحدة,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.087311,32.790513,
14215,القادسية,الغربية,4,طرابلس,الحادية عشر,11,59,حي الاندلس,غوط الشعال,حي الاندلس,عام,13.086225,32.848491,
15098,سالم التير,الغربية,5,العزيزية,التانية عشر,12,68,امسيحل - السائح - السبيعة,بن عطية,اسبيعة,عام,13.085378,32.491313,
34069,شباب الحرية,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الهواري,البركة,عام,20.11053889,32.07515,
34050,فجر المعرفة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,لملوم,البركة,عام,20.10982778,32.09935556,
34104,شهداء الوطن,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,حي السلام,السلاوي,عام,20.10972222,32.14806667,
34130,صقر قريش,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,شهداء السلاوي,السلاوي,عام,20.10915,32.12774444,
34128,شهيرات الإسلام,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,شهداء السلاوي,السلاوي,عام,20.10607778,32.11308889,
34058,بودريسة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,القوارشة,البركة,عام,20.1052,31.89361944,
34101,هواري بومدين,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,حي السلام,السلاوي,عام,20.10478611,32.14249722,
34127,موسى بن نصير,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,شهداء السلاوي,السلاوي,عام,20.10383611,32.12387222,
34088,أمنة بنت وهب,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,السلماني الشرقي,السلاوي,عام,20.10151389,32.13541111,
34035,خالد بن الوليد,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,البركة,البركة,عام,20.09993889,32.09962778,
34030,شهداء بوسليم,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,شهداء السلماني,بنغازي المركز,عام,20.0989,32.11062222,
34032,السيدة زينب,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,البركة,البركة,عام,20.09618333,32.09356111,
34092,فتاة الثورة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,السلماني الشرقي,السلاوي,عام,20.09561667,32.11775278,
34018,شهداء العقيلة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,سيدي اعبيد,بنغازي المركز,عام,20.09451389,32.13104722,
34036,بدر الكبرى,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,البركة,البركة,عام,20.09084167,32.10030278,
34090,علي بن ابي طالب,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,السلماني الشرقي,السلاوي,عام,20.09066667,32.12272778,
34034,الصادق بالة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,البركة,البركة,عام,20.086775,32.09577222,
34008,صروح المعرفة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الصابري,بنغازي المركز,عام,20.08610833,32.14067778,
34023,بنغازي بنات,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,سيدي حسين,بنغازي المركز,عام,20.08464444,32.11836111,
34016,الصمود,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,راس اعبيدة,بنغازي المركز,عام,20.08424167,32.11491111,
34027,سكينة بنت الحسين,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,شهداء السلماني,بنغازي المركز,عام,20.08424167,32.11491111,
34012,الحقيقة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الصابري,بنغازي المركز,عام,20.08403333,32.14313611,
34015,غزة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,راس اعبيدة,بنغازي المركز,عام,20.08403333,32.14313611,
34026,المستقبل,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,شهداء السلماني,بنغازي المركز,عام,20.08403333,32.14313611,
34051,يوسف بوبكر,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الفويهات,البركة,عام,20.08348333,32.07717222,
34029,ابي عبيدة بن الجراح,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,شهداء السلماني,بنغازي المركز,عام,20.08165,32.1044,
34019,حنين,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,سيدي اعبيد,بنغازي المركز,عام,20.07945278,32.13071944,
34065,ابي بكر الرازي,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,البركة,عام,20.07812222,32.08321111,
34009,رابعة العدوية,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الصابري,بنغازي المركز,عام,20.07733056,32.13686111,
34011,اللثامة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الصابري,بنغازي المركز,عام,20.07733056,32.13686111,
34014,الكرامة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,راس اعبيدة,بنغازي المركز,عام,20.07733056,32.13686111,
34025,التحرير,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,شهداء السلماني,بنغازي المركز,عام,20.07733056,32.13686111,
34020,خديجة الكبرى,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,سيدي اعبيد,بنغازي المركز,عام,20.07715278,32.10894167,
34031,قرطبة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,البركة,البركة,عام,20.07665,32.1044,
34062,صلاح الدين,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,البركة,عام,20.07636389,32.08331389,
34063,عثمان بن عفان,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,البركة,عام,20.07588333,32.08098333,
34007,23يوليو,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي المدينة,بنغازي المركز,عام,20.07562222,32.13640556,
34010,فاطمة الزهراء,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الصابري,بنغازي المركز,عام,20.07562222,32.13640556,
34013,عمر المختار,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الصابري,بنغازي المركز,عام,20.07562222,32.13640556,
34024,صالح بويصير,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,سيدي حسين,بنغازي المركز,عام,20.07562222,32.13640556,
34059,شهداء جندوبة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,البركة,عام,20.07405,32.09881389,
34066,نور الحرية,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,البركة,عام,20.07266111,32.08182222,
34067,أبوبكر الصديق,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,البركة,عام,20.07248889,32.09083333,
34057,القوارشة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,القوارشة,البركة,عام,20.07237222,32.026625,
34021,الاستقلال,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,سيدي حسين,بنغازي المركز,عام,20.07197778,32.11270556,
34022,الأندلس,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,سيدي حسين,بنغازي المركز,عام,20.06886944,32.11307222,
34060,مناهل العلم,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,البركة,عام,20.06849722,32.08423889,
34004,إمحمد المقريف,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي المدينة,بنغازي المركز,عام,20.06765,32.12818333,
34006,الأميرة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي المدينة,بنغازي المركز,عام,20.06735556,32.12066111,
34005,بنغازي بنين,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي المدينة,بنغازي المركز,عام,20.06576667,32.127325,
34001,الحرية,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي المدينة,بنغازي المركز,عام,20.06495,32.11612778,
34002,القدس,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي المدينة,بنغازي المركز,عام,20.05984167,32.11844444,
34086,ابن خلدون,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,قاريونس,البركة,عام,20.05731944,32.0782,
34003,شهداء الجزيرة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي المدينة,بنغازي المركز,عام,20.05547778,32.09888056,
34085,قاريونس,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,قاريونس,البركة,عام,20.03979167,32.05403056,
34087,جيل الوعد,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,قاريونس,البركة,عام,20.03655556,32.05425,
13037,الدراوزة,الغربية,3,الخمس,العاشرة,10,54,قصر الأخيار,العلوص,قصر الأخيار,عام,13.902361,32.701181,
13044,محمد حميميد,الغربية,3,الخمس,العاشرة,10,54,قصر الأخيار,سيدي عمير,قصر الأخيار,عام,13.900772,32.757569,
22032,عمر بن الخطاب,الجنوبية,10,اوباري,السابعة,7,27,مرزق - جيزاو - مرزق المدينة,مرزق,مرزق,عام,13.900075,25.927433,
13058,الفواتير,الغربية,3,الخمس,العاشرة,10,51,مسلاتة,بن ناصر,مسلاته,عام,13.890706,32.569681,
13090,صقر قريش,الغربية,3,الخمس,العاشرة,10,50,ترهونة,سيدي امعمر,ترهونة,عام,13.884458,32.495956,
13059,عبد الله بن مسعود,الغربية,3,الخمس,العاشرة,10,51,مسلاتة,بن ناصر,مسلاته,عام,13.869964,32.592086,
13040,السند,الغربية,3,الخمس,العاشرة,10,54,قصر الأخيار,قصر الأخيار المركز,قصر الأخيار,عام,13.867444,32.674411,
13041,عمر المختار,الغربية,3,الخمس,العاشرة,10,54,قصر الأخيار,قصر الأخيار الغربية,قصر الأخيار,عام,13.8517,32.576786,
13039,شهداء قماطة,الغربية,3,الخمس,العاشرة,10,54,قصر الأخيار,قصر الأخيار المركز,قصر الأخيار,عام,13.847103,32.697339,
13095,سيدي الشارف,الغربية,3,الخمس,العاشرة,10,50,ترهونة,أولاد علي,ترهونة,عام,13.84405,32.449697,
13045,النجاح,الغربية,3,الخمس,العاشرة,10,54,قصر الأخيار,سيدي عمير,قصر الأخيار,عام,13.843181,32.706558,
13048,الشعلة,الغربية,3,الخمس,العاشرة,10,54,قصر الأخيار,الكراوة,قصر الأخيار,عام,13.839606,32.554547,
21055,مدرسة الانتصار,الجنوبية,9,سبها,السادسة,6,23,الشاطئ,عين المشاشية / قطة,الشاطئ,عام,13.830454,27.47035,
13046,أبومساهل,الغربية,3,الخمس,العاشرة,10,54,قصر الأخيار,سيدي عمير,قصر الأخيار,عام,13.818428,32.673283,
13082,ترغلات الثانوية,الغربية,3,الخمس,العاشرة,10,50,ترهونة,ترغلات,ترهونة,عام,13.817278,32.378167,
34079,أحمد رفيق,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي الجديدة,البركة,عام,20.127975,32.10458889,
35036,أبوجعفر المنصور,الشرقية,16,اجدابيا,الرابعة,4,13,اجدابيا,مرادة,مرادة,عام,19.205694,29.224496,
35025,عبدالنبي بشير,الشرقية,16,اجدابيا,الرابعة,4,14,البريقة,العقيلة,البريقة,عام,19.204131,30.257396,
11051,القلعة الصناعية,الغربية,1,سرت,الخامسة,5,19,السدرة,رأس الانوف,رأس الانوف,عام,18.418114,30.585214,
11055,ابن سينا,الغربية,1,سرت,الخامسة,5,19,السدرة,بن جواد,بن جواد,عام,18.082961,30.800331,
11054,جابر بن حيان,الغربية,1,سرت,الخامسة,5,19,السدرة,بن جواد,بن جواد,عام,18.078536,30.801342,
11086,صالح الأطيوش للتعليم الأساسي,الغربية,1,سرت,الخامسة,5,19,السدرة,النوفلية,النوفلية,عام,17.836106,30.783908,
11088,الرازي,الغربية,1,سرت,الخامسة,5,19,السدرة,ام القنديل,الوسط,عام,17.599567,30.967547,
11050,مدرسة زلة للتعليم الاساسي,الغربية,1,سرت,الخامسة,5,21,الجفرة,زلة المركز,زلة,عام,17.554362,28.544672,
11049,مدرسة زلة الثانوية,الغربية,1,سرت,الخامسة,5,21,الجفرة,زلة المركز,زلة,عام,17.544686,28.549256,
11053,أبوسعدة للتعليم الأساسي,الغربية,1,سرت,الخامسة,5,20,سرت,ابوسعدة,ابوسعدة,عام,17.520261,30.991969,
11052,شهداء الهاني,الغربية,1,سرت,الخامسة,5,19,السدرة,الوادي الاحمر,الوادي الاحمر,عام,17.444697,31.012336,
11056,عبدالجليل سيف النصر,الغربية,1,سرت,الخامسة,5,20,سرت,هراوة,هراوة,عام,17.288135,31.047576,
11057,ابوبكر الصديق,الغربية,1,سرت,الخامسة,5,20,سرت,هراوة,هراوة,عام,17.227428,30.899636,
11087,العامرة,الغربية,1,سرت,الخامسة,5,20,سرت,العامرة,العامرة,عام,17.227319,31.076658,
11061,ابوعبيده بن الجراح,الغربية,1,سرت,الخامسة,5,20,سرت,سلطان,سرت,عام,17.146817,31.115661,
11060,سالم الشرفى,الغربية,1,سرت,الخامسة,5,20,سرت,القرضابية,سرت,عام,16.948342,31.149892,
11076,عثمان بن عفان,الغربية,1,سرت,الخامسة,5,20,سرت,الحنيوه,سرت,عام,16.919847,31.018067,
11059,الفارابي,الغربية,1,سرت,الخامسة,5,20,سرت,ابو زاهية,سرت,عام,16.756517,31.193008,
11058,عمرو بن العاص,الغربية,1,سرت,الخامسة,5,20,سرت,ابو زاهية,ابو زاهية,عام,16.681989,31.207367,
11085,ذات الصواري,الغربية,1,سرت,الخامسة,5,20,سرت,ابوهادي,سرت,عام,16.666789,30.993581,
11084,جمال عبدالناصر,الغربية,1,سرت,الخامسة,5,20,سرت,ابوهادي,سرت,عام,16.656572,31.0539,
11075,الفجر الجديد,الغربية,1,سرت,الخامسة,5,20,سرت,الغريبات,سرت,عام,16.619008,31.133806,
11083,اليرموك,الغربية,1,سرت,الخامسة,5,20,سرت,الحي رقم 3,سرت,عام,16.608264,31.199947,
11069,سناء يوسف,الغربية,1,سرت,الخامسة,5,20,سرت,الجيزه العسكرية,سرت,عام,16.596632,31.177775,
11064,السابع عشر من فبراير,الغربية,1,سرت,الخامسة,5,20,سرت,سرت المركز,سرت,عام,16.596158,31.209342,
11082,ليبيا الحرة,الغربية,1,سرت,الخامسة,5,20,سرت,الحي رقم 3,سرت,عام,16.594828,31.198822,
11063,خولة بنت الأزور,الغربية,1,سرت,الخامسة,5,20,سرت,سرت المركز,سرت,عام,16.587656,31.206733,
11068,المجد,الغربية,1,سرت,الخامسة,5,20,سرت,الرباط الامامي,سرت,عام,16.586344,31.201547,
11062,المنارة للغات,الغربية,1,سرت,الخامسة,5,20,سرت,سرت المركز,سرت,عام,16.58631,31.209924,
11072,الثورة العربية,الغربية,1,سرت,الخامسة,5,20,سرت,الرباط,سرت,عام,16.581197,31.204094,
11071,صقور 17 فبراير,الغربية,1,سرت,الخامسة,5,20,سرت,الرباط الامامي,سرت,عام,16.580933,31.200622,
11070,الجيل الجديد,الغربية,1,سرت,الخامسة,5,20,سرت,الرباط,سرت,عام,16.570578,31.204922,
11081,طلائع النصر,الغربية,1,سرت,الخامسة,5,20,سرت,الحي رقم 2,سرت,عام,16.566008,31.207981,
11080,شهداء تاقرفت,الغربية,1,سرت,الخامسة,5,20,سرت,الحي رقم 2,سرت,عام,16.560453,31.206625,
11066,وادي تلال,الغربية,1,سرت,الخامسة,5,20,سرت,الزعفران,سرت,عام,16.548008,31.198336,
11074,الأنطلاقة,الغربية,1,سرت,الخامسة,5,20,سرت,الغريبات,سرت,عام,16.538514,31.140444,
11073,الغربيات,الغربية,1,سرت,الخامسة,5,20,سرت,الغريبات,سرت,عام,16.538215,31.141462,
11067,النهضة الزراعية,الغربية,1,سرت,الخامسة,5,20,سرت,الزعفران,سرت,عام,16.534583,31.171906,
11065,الزعفران,الغربية,1,سرت,الخامسة,5,20,سرت,الزعفران,سرت,عام,16.533314,31.204422,
11041,مدرسة ابوبكر الصديق الثانوية,الغربية,1,سرت,الخامسة,5,21,الجفرة,الفقهاء,الفقهاء,عام,16.392631,27.811958,
11078,نور اليقين,الغربية,1,سرت,الخامسة,5,20,سرت,جارف,سرت,عام,16.314886,31.074175,
11079,محمد الفاتح,الغربية,1,سرت,الخامسة,5,20,سرت,الثلاثين,سرت,عام,16.286436,31.225353,
11077,قضوار السهولي,الغربية,1,سرت,الخامسة,5,20,سرت,جارف,سرت,عام,16.194306,31.189753,
11044,مدرسة احمد قنابة,الغربية,1,سرت,الخامسة,5,21,الجفرة,الصوان,ودان,عام,16.155622,29.172947,
11042,مدرسة ابي الحسن الوداني,الغربية,1,سرت,الخامسة,5,21,الجفرة,الشمالية,ودان,عام,16.142952,29.161902,
11043,مدرسة ودان الثانوية,الغربية,1,سرت,الخامسة,5,21,الجفرة,الجنوبية,ودان,عام,16.142061,29.157194,
11046,القدس,الغربية,1,سرت,الخامسة,5,21,الجفرة,هون الشمالية,هون,عام,15.961686,29.127877,
11047,هون الاعدادية للبنات,الغربية,1,سرت,الخامسة,5,21,الجفرة,هون الجنوبية,هون,عام,15.943638,29.120786,
11045,مدرسة عبدالله الهوني الثانوية,الغربية,1,سرت,الخامسة,5,21,الجفرة,هون الشمالية,هون,عام,15.939258,29.126494,
11048,هون الاعدادية للبنين,الغربية,1,سرت,الخامسة,5,21,الجفرة,هون الجنوبية,هون,عام,15.93777,29.120495,
11040,مدرسة سوكنة الاعدادية للبنات,الغربية,1,سرت,الخامسة,5,21,الجفرة,سوكنة,سوكنة,عام,15.784384,29.07026,
11039,مدرسة سوكنة الابتدائية للبنين,الغربية,1,سرت,الخامسة,5,21,الجفرة,سوكنة,سوكنة,عام,15.784044,29.070895,
22051,تمسة للتعليم الاساسي,الجنوبية,10,اوباري,السابعة,7,30,زويلة - تمسه - مجدول - أم زوير ـ تربو,تمسة,تمسة,عام,15.783703,26.393214,
11033,الشهيد السنوسي الكاسح,الغربية,1,سرت,الخامسة,5,20,سرت,الوشكة,الوشكة,عام,15.571239,31.347022,
11034,أسامة بن زيد,الغربية,1,سرت,الخامسة,5,20,سرت,أبونجيم,أبونجيم,عام,15.428142,30.602717,
11030,وادي بي,الغربية,1,سرت,الخامسة,5,20,سرت,وادي بي,وادي بي,عام,15.332497,30.841756,
11031,أبو قرين,الغربية,1,سرت,الخامسة,5,20,سرت,أبو قرين,أبو قرين,عام,15.253188,31.449552,
11032,الكرامة,الغربية,1,سرت,الخامسة,5,20,سرت,أبو قرين,أبو قرين,عام,15.252058,31.453345,
11037,القداحية المركزية,الغربية,1,سرت,الخامسة,5,20,سرت,القداحية,زمزم,عام,15.241239,31.364711,
12066,مدرسة الخنساء الثانوية,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,قصر أحمد,مصراتة,عام,15.20805,32.37288,
12067,مدرسة شهداء قصر أحمد,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,قصر أحمد,مصراتة,عام,15.20459,32.36508,
11038,ليبيا الغد,الغربية,1,سرت,الخامسة,5,20,سرت,القداحية,زمزم,عام,15.187067,31.269014,
12065,مدرسة عبد العاطي الجرم,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,قصر أحمد,مصراتة,عام,15.18316,32.3719,
22053,تربو للتعليم الاساسي,الجنوبية,10,اوباري,السابعة,7,30,زويلة - تمسه - مجدول - أم زوير ـ تربو,تربو,تربو,عام,15.16273,25.969344,
12022,مدرسة الصفاء,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الزروق,مصراتة,عام,15.15943,32.37778,
12019,مدرسة الحرية,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الزروق,مصراتة,عام,15.15007,32.36272,
12018,مدرسة ذات النطاقين,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الزروق,مصراتة,عام,15.148,32.37117,
12014,مدرسة شهداء الرملة,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الرملة,مصراتة,عام,15.14026,32.38871,
12023,مدرسة فاطمة الزهراء الثانوية,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الزروق,مصراتة,عام,15.13504,32.38956,
12020,مدرسة النضال,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الزروق,مصراتة,عام,15.13057,32.34638,
22050,عقبة بن نافع,الجنوبية,10,اوباري,السابعة,7,30,زويلة - تمسه - مجدول - أم زوير ـ تربو,زويلة,زويلة,عام,15.129067,26.161369,
12024,مدرسة السلام,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الزروق,مصراتة,عام,15.12759,32.3702,
12026,مدرسة السكيرات,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,السكيرات,مصراتة,عام,15.12484,32.35688,
12032,مدرسة شهداء تاقرفت,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الطريق الساحلي,مصراتة,عام,15.11816,32.2979,
12008,مدرسة ام سلمة,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الجزيرة,مصراتة,عام,15.11569,32.3773,
12015,مدرسة شهداء الرويسات,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الرويسات,مصراتة,عام,15.1113,32.36607,
12049,مدرسة شهداء يدر,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,أبوشعيرة,مصراتة,عام,15.10889,32.38592,
12048,مدرسة ابوشعيرة,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,أبوشعيرة,مصراتة,عام,15.10733,32.39434,
12016,مدرسة شهداء السبت,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الرويسات,مصراتة,عام,15.10399,32.35286,
12068,مدرسة شهداء السدادة,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,كرزاز,مصراتة,عام,15.10022,32.32413,
12096,مدرسة أم القرى,الغربية,2,مصراتة,التاسعة,9,49,زليتن,الظهيرة,زليتن,عام,15.09766,32.37272,
12003,مدرسة الجهاد,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,اقزير,مصراتة,عام,15.09766,32.37272,
12009,مدرسة ابن غلبون,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الجهانات,مصراتة,عام,15.09766,32.37272,
12017,مدرسة شهداء آل ماطوس,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الرويسات,مصراتة,عام,15.09766,32.37272,
12062,مدرسة طمينة المركزية,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,طمينة,مصراتة,عام,15.09766,32.37272,
12061,مدرسة بدر الكبرى,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,طمينة,مصراتة,عام,15.09657,32.29433,
12050,مدرسة علي المنقوش,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,أبوشعيرة,مصراتة,عام,15.09375,32.3853,
12064,مدرسة اسماء الثانوية,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,عباد,مصراتة,عام,15.09326,32.38255,
11036,السلام,الغربية,1,سرت,الخامسة,5,20,سرت,زمزم,زمزم,عام,15.092472,31.167728,
12005,مدرسة النور,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,اقزير,مصراتة,عام,15.091238,32.361494,
12004,مدرسة عمر المختار,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,اقزير,مصراتة,عام,15.08769,32.3364,
13001,عبد الصمد ابو زقية,الغربية,3,الخمس,العاشرة,10,53,الخمس المدينة,غنيمة,الخمس,عام,15.08654,32.38885,
12107,صلاح الدين,الغربية,2,مصراتة,التاسعة,9,49,زليتن,المنطرحة,زليتن,عام,15.08654,32.38885,
12027,مدرسة طارق بن زياد,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الشراكسة,مصراتة,عام,15.08654,32.38885,
12033,مدرسة تحرير ليبيا,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,المقاصبة,مصراتة,عام,15.08654,32.38885,
12042,مدرسة الأنوار,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,المطاردة,مصراتة,عام,15.08654,32.38885,
12059,مدرسة شهداء الثقيل,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,طريق الثقيل,مصراتة,عام,15.08654,32.38885,
12002,مدرسة ثانوية النهضة,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,اقزير,مصراتة,عام,15.08349,32.3491,
12013,مدرسة الشعلة الدافنية,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الدافنية,مصراتة,عام,15.08104,32.36999,
13003,شهداء شقران,الغربية,3,الخمس,العاشرة,10,53,الخمس المدينة,سيلين,الخمس,عام,15.08101111,32.35173889,
12109,الاتحاد بنين,الغربية,2,مصراتة,التاسعة,9,49,زليتن,المنطرحة,زليتن,عام,15.08101111,32.35173889,
12025,مدرسة شهداء الزوابي,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الزوابي,مصراتة,عام,15.08101111,32.35173889,
12028,مدرسة يثرب,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,الشراكسة,مصراتة,عام,15.08101111,32.35173889,
12044,مدرسة اسماء للتعليم الأساسي,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,المقاوبة,مصراتة,عام,15.08101111,32.35173889,
12051,مدرسة أم الشهيد الثانوية,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,رأس عمار,مصراتة,عام,15.08101111,32.35173889,
12060,مدرسة الخالدات الثانوية,الغربية,2,مصراتة,التاسعة,9,47,مصراتة,طمينة,مصراتة,عام,15.08016,32.25317,
13004,موقعه النقازة,الغربية,3,الخمس,العاشرة,10,53,الخمس المدينة,سيلين,الخمس,عام,15.07983,32.25438,
12071,السيدة زينب,الغربية,2,مصراتة,التاسعة,9,49,زليتن,ابو جريدة,زليتن,عام,15.07983,32.25438,
