candidate 113 votes included quarantine,ballot number,stations,stations completed,stations percent completed,candidate 1 name,candidate 1 votes,candidate 1 votes included quarantine,candidate 2 name,candidate 2 votes,candidate 2 votes included quarantine,candidate 3 name,candidate 3 votes,candidate 3 votes included quarantine,candidate 4 name,candidate 4 votes,candidate 4 votes included quarantine,candidate 5 name,candidate 5 votes,candidate 5 votes included quarantine,candidate 6 name,candidate 6 votes,candidate 6 votes included quarantine,candidate 7 name,candidate 7 votes,candidate 7 votes included quarantine,candidate 8 name,candidate 8 votes,candidate 8 votes included quarantine,candidate 9 name,candidate 9 votes,candidate 9 votes included quarantine,candidate 10 name,candidate 10 votes,candidate 10 votes included quarantine,candidate 11 name,candidate 11 votes,candidate 11 votes included quarantine,candidate 12 name,candidate 12 votes,candidate 12 votes included quarantine,candidate 13 name,candidate 13 votes,candidate 13 votes included quarantine,candidate 14 name,candidate 14 votes,candidate 14 votes included quarantine,candidate 15 name,candidate 15 votes,candidate 15 votes included quarantine,candidate 16 name,candidate 16 votes,candidate 16 votes included quarantine,candidate 17 name,candidate 17 votes,candidate 17 votes included quarantine,candidate 18 name,candidate 18 votes,candidate 18 votes included quarantine,candidate 19 name,candidate 19 votes,candidate 19 votes included quarantine,candidate 20 name,candidate 20 votes,candidate 20 votes included quarantine,candidate 21 name,candidate 21 votes,candidate 21 votes included quarantine,candidate 22 name,candidate 22 votes,candidate 22 votes included quarantine,candidate 23 name,candidate 23 votes,candidate 23 votes included quarantine,candidate 24 name,candidate 24 votes,candidate 24 votes included quarantine,candidate 25 name,candidate 25 votes,candidate 25 votes included quarantine,candidate 26 name,candidate 26 votes,candidate 26 votes included quarantine,candidate 27 name,candidate 27 votes,candidate 27 votes included quarantine,candidate 28 name,candidate 28 votes,candidate 28 votes included quarantine,candidate 29 name,candidate 29 votes,candidate 29 votes included quarantine,candidate 30 name,candidate 30 votes,candidate 30 votes included quarantine,candidate 31 name,candidate 31 votes,candidate 31 votes included quarantine,candidate 32 name,candidate 32 votes,candidate 32 votes included quarantine,candidate 33 name,candidate 33 votes,candidate 33 votes included quarantine,candidate 34 name,candidate 34 votes,candidate 34 votes included quarantine,candidate 35 name,candidate 35 votes,candidate 35 votes included quarantine,candidate 36 name,candidate 36 votes,candidate 36 votes included quarantine,candidate 37 name,candidate 37 votes,candidate 37 votes included quarantine,candidate 38 name,candidate 38 votes,candidate 38 votes included quarantine,candidate 39 name,candidate 39 votes,candidate 39 votes included quarantine,candidate 40 name,candidate 40 votes,candidate 40 votes included quarantine,candidate 41 name,candidate 41 votes,candidate 41 votes included quarantine,candidate 42 name,candidate 42 votes,candidate 42 votes included quarantine,candidate 43 name,candidate 43 votes,candidate 43 votes included quarantine,candidate 44 name,candidate 44 votes,candidate 44 votes included quarantine,candidate 45 name,candidate 45 votes,candidate 45 votes included quarantine,candidate 46 name,candidate 46 votes,candidate 46 votes included quarantine,candidate 47 name,candidate 47 votes,candidate 47 votes included quarantine,candidate 48 name,candidate 48 votes,candidate 48 votes included quarantine,candidate 49 name,candidate 49 votes,candidate 49 votes included quarantine,candidate 50 name,candidate 50 votes,candidate 50 votes included quarantine,candidate 51 name,candidate 51 votes,candidate 51 votes included quarantine,candidate 52 name,candidate 52 votes,candidate 52 votes included quarantine,candidate 53 name,candidate 53 votes,candidate 53 votes included quarantine,candidate 54 name,candidate 54 votes,candidate 54 votes included quarantine,candidate 55 name,candidate 55 votes,candidate 55 votes included quarantine,candidate 56 name,candidate 56 votes,candidate 56 votes included quarantine,candidate 57 name,candidate 57 votes,candidate 57 votes included quarantine,candidate 58 name,candidate 58 votes,candidate 58 votes included quarantine,candidate 59 name,candidate 59 votes,candidate 59 votes included quarantine,candidate 60 name,candidate 60 votes,candidate 60 votes included quarantine,candidate 61 name,candidate 61 votes,candidate 61 votes included quarantine,candidate 62 name,candidate 62 votes,candidate 62 votes included quarantine,candidate 63 name,candidate 63 votes,candidate 63 votes included quarantine,candidate 64 name,candidate 64 votes,candidate 64 votes included quarantine,candidate 65 name,candidate 65 votes,candidate 65 votes included quarantine,candidate 66 name,candidate 66 votes,candidate 66 votes included quarantine,candidate 67 name,candidate 67 votes,candidate 67 votes included quarantine,candidate 68 name,candidate 68 votes,candidate 68 votes included quarantine,candidate 69 name,candidate 69 votes,candidate 69 votes included quarantine,candidate 70 name,candidate 70 votes,candidate 70 votes included quarantine,candidate 71 name,candidate 71 votes,candidate 71 votes included quarantine,candidate 72 name,candidate 72 votes,candidate 72 votes included quarantine,candidate 73 name,candidate 73 votes,candidate 73 votes included quarantine,candidate 74 name,candidate 74 votes,candidate 74 votes included quarantine,candidate 75 name,candidate 75 votes,candidate 75 votes included quarantine,candidate 76 name,candidate 76 votes,candidate 76 votes included quarantine,candidate 77 name,candidate 77 votes,candidate 77 votes included quarantine,candidate 78 name,candidate 78 votes,candidate 78 votes included quarantine,candidate 79 name,candidate 79 votes,candidate 79 votes included quarantine,candidate 80 name,candidate 80 votes,candidate 80 votes included quarantine,candidate 81 name,candidate 81 votes,candidate 81 votes included quarantine,candidate 82 name,candidate 82 votes,candidate 82 votes included quarantine,candidate 83 name,candidate 83 votes,candidate 83 votes included quarantine,candidate 84 name,candidate 84 votes,candidate 84 votes included quarantine,candidate 85 name,candidate 85 votes,candidate 85 votes included quarantine,candidate 86 name,candidate 86 votes,candidate 86 votes included quarantine,candidate 87 name,candidate 87 votes,candidate 87 votes included quarantine,candidate 88 name,candidate 88 votes,candidate 88 votes included quarantine,candidate 89 name,candidate 89 votes,candidate 89 votes included quarantine,candidate 90 name,candidate 90 votes,candidate 90 votes included quarantine,candidate 91 name,candidate 91 votes,candidate 91 votes included quarantine,candidate 92 name,candidate 92 votes,candidate 92 votes included quarantine,candidate 93 name,candidate 93 votes,candidate 93 votes included quarantine,candidate 94 name,candidate 94 votes,candidate 94 votes included quarantine,candidate 95 name,candidate 95 votes,candidate 95 votes included quarantine,candidate 96 name,candidate 96 votes,candidate 96 votes included quarantine,candidate 97 name,candidate 97 votes,candidate 97 votes included quarantine,candidate 98 name,candidate 98 votes,candidate 98 votes included quarantine,candidate 99 name,candidate 99 votes,candidate 99 votes included quarantine,candidate 100 name,candidate 100 votes,candidate 100 votes included quarantine,candidate 101 name,candidate 101 votes,candidate 101 votes included quarantine,candidate 102 name,candidate 102 votes,candidate 102 votes included quarantine,candidate 103 name,candidate 103 votes,candidate 103 votes included quarantine,candidate 104 name,candidate 104 votes,candidate 104 votes included quarantine,candidate 105 name,candidate 105 votes,candidate 105 votes included quarantine,candidate 106 name,candidate 106 votes,candidate 106 votes included quarantine,candidate 107 name,candidate 107 votes,candidate 107 votes included quarantine,candidate 108 name,candidate 108 votes,candidate 108 votes included quarantine,candidate 109 name,candidate 109 votes,candidate 109 votes included quarantine,candidate 110 name,candidate 110 votes,candidate 110 votes included quarantine,candidate 111 name,candidate 111 votes,candidate 111 votes included quarantine,candidate 112 name,candidate 112 votes,candidate 112 votes included quarantine,candidate 113 name,candidate 113 votes
,11,43,0,0.0,فتحي صالح عبدالسلام اسويسي,0,0,عادل خليفة عمر الهادي,0,0,ابراهيم ابريك غيث ابريك,0,0,صالح سالم رحيل محمد,0,0,علي عبدالسلام محمد عبدالسلام,0,0,مرعي علي سالم عبدالسلام,0,0,ابراهيم عبدالله عبدالسلام الزغيد,0,0,حميد محمد اسعيد عبدالجليل,0,0,حسين محمد عثمان ابوغزيل,0,0,حكيم عبدالقادر محمد الحسين,0,0,عبدالحفيظ محمد ميلاد محمد,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,47,0,0.0,فرج ميلاد سليمان احمودة,0,0,لامين فضيل حسين علي,0,0,يوسف محمد كمود الفاخري,0,0,راف الله سليمان ادم العوامي,0,0,ذاوود حمد ذاوود الدوح,0,0,فتحي عمر علي الفاخري,0,0,يونس احمد عقيلة عبدالقادر,0,0,ابراهيم بشير مسعود الضبيطة,0,0,فيصل احمد الشريف الحرش,0,0,سعد بشير دينار الفاخري,0,0,عطية علي محمد الرقاص,0,0,بشير عبدالحميد مصطفى ابراهيم,0,0,يونس عبدالله يونس محمد,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,119,0,0.0,عقوب امراجع صالح عيسى,0,0,صالح ادريس بالقاسم عبدالقادر,0,0,محمد الصادق هلال حسين بوهدمه,0,0,حسن حمد عمر عبدالرحيم,0,0,احمد جاد الله بوبكر علي,0,0,محمد خيرالله عبدالله الزربى,0,0,صالح حسن المهدى لبشاري,0,0,سعد مصطفى الزوام محمد,0,0,ناصر محمود مطرود ختال,0,0,محمد سعد علي صالح,0,0,محمد عبدالكريم المبروك ابراهيم,0,0,فتحي سعد محمد حنطيش,0,0,علي ادريس محمد عيسى,0,0,مصطفى احمد عبدالعالي محمد,0,0,محمد صالح محمد منصور,0,0,فرج محمد عمر ابوبكر,0,0,بالقاسم عمر عيسى الشريف,0,0,محمد عطية يونس امبارك,0,0,عبدالسلام محمد محمد بدر,0,0,مفتاح محمد عثمان موسى,0,0,صالح امحمد مقيل علي,0,0,عبدالمولى محبوب مرزوق ابراهيم,0,0,اللافى حسن يونس حسن,0,0,احمد محمد مهدي ارويعى,0,0,عبدالله موسى سعيد اعبيد,0,0,فرج فضيل سوتية الشافعى,0,0,منصور علي حمد الشريف,0,0,عبدالباسط صالح حمد ضو بن نجاح,0,0,مفتاح عبدالله عبدالخالق سليمان,0,0,محمد مفتاح منصور علي,0,0,فرحات عبدالمجيد موسى محمد,0,0,محمد عبدالله حمد صالح,0,0,عبدالغني عبدالعزيز فرج القاسى,0,0,خميس عوض الزوام حسن,0,0,مفتاح علي حميد سعيد,0,0,جبريل حسن جبريل حسن,0,0,سليمان احمد محمد البرانى,0,0,اسماعيل احميده عبدالكريم حسون,0,0,عبدالله احمد اللافى مفتاح,0,0,محمد بومليحة محمد ادم,0,0,عثمان رمضان محمد اللافى,0,0,بوحلفاية الدليمى بوحلفاية الدليمى,0,0,عمر السنوسى عمر ابسيط,0,0,عبدالنبي عطية صالح عبدالسلام,0,0,حمد عبدالنبى محمد معتوق,0,0,فرج سالم داوود صالح,0,0,المبروك ابوسيف امراجع مصطفى,0,0,سالم رحيل سليمان عيسى,0,0,عيسى محمد عمر رشوان,0,0,الصالحين ابراهيم سعد بوسهل,0,0,خالد عبدالقادر سعيد اشلبى,0,0,محمد عبدالسلام مصطفى موسى,0,0,محمد رجب عمر صالح,0,0,سالم موسى الزوام بو عائشة,0,0,فتح الله حسين عبدالكريم محمد,0,0,محمد سعد حماد صالح,0,0,محمد سلطان محمد سلطان,0,0,محمد سليمان مسعود سعيد,0,0,جبريل عبدالرحيم حمد بوشنة,0,0,نصر احمد محمود غربى,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,41,0,0.0,محمد بالناصر سعيد ياسين,0,0,ابريك حمد ابريك علي,0,0,حسن مطرود الكيلانى صالح,0,0,ابوسيف صالح عبدالعالي امحمد,0,0,فرج عثمان يوسف عثمان,0,0,ادريس عبدالله ادريس فرج,0,0,فتحي خميس فضيل هيوب,0,0,سالم جمعة الشريف عطية,0,0,ادريس بالحسن بشير مصطفى,0,0,عبدالنبي فضيل مصباح البغيض,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,33,0,0.0,فتحي عبدالرحيم محمد القباصى,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,49,0,0.0,محمد عبدالفتاح ابراهيم الصابر,0,0,ابراهيم حسن عمر بازامة,0,0,حسين محمد علي المصرى بوحليقة,0,0,ابراهيم عبدالهادي احمد محمد المجبرى,0,0,عمر المبروك درمان عميش,0,0,حمد محمد حمد عبدالرحمن ماقيق,0,0,محمد عبدالصمد علي قرباج,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,31,0,0.0,جاد المولى عبدالونيس محمد مسعود,0,0,المبروك احمد المبروك اجويلي,0,0,شاكر عبدالحميد عبدالصمد عقوب,0,0,محمد موسى عبدالحميد دومة,0,0,المبروك فرج المبروك عبدالله,0,0,صلاح سعيد عبدالله قادروحة,0,0,محمد مسعود عبدالرحيم عقوب,0,0,فرحات عطية يوسف الكاديكي,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,72,0,0.0,منير عبدالحميد حمد فكرون,0,0,محمد رزي محمد مردي,0,0,عبدالكريم سليمان تكة التباوي,0,0,سعيد مصطفى محمد امغيب,0,0,ناصر بوبكر صالح اقبيلي,0,0,فرج سالم محمد سالم,0,0,عبدالسلام شهى اللهي اقونية,0,0,محمد عبدالرحيم محمد بوغزيل,0,0,خليل عبدالرحيم محمد الفضيل,0,0,طالب احمد طاهر جادالله,0,0,فريد محمد سليمان ادم,0,0,محمد حمد المبروك قادوم,0,0,علي بشير عبدالحميد بومطاري,0,0,طاهر حامد طاهر جيدالله,0,0,مرعي ابوبكر محمود ارحيم,0,0,احمد محمد احمد بدر,0,0,السنوسي سالم عمر القمي,0,0,حامد بونخيلة حامد يحي,0,0,جبريل ادريس عبدالرحمن اوحيدة,0,0,محمد حامد عبدالهادي الازرق,0,0,حامد سليمان صالح الحتة,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,44,0,0.0,فضيل الصقر محمد فاضل,0,0,محمود عبدالرسول صالح النعاس,0,0,عبدالرحمن السنوسي بشير مسعود,0,0,يوسف عمر المهدي ادياب,0,0,مفتاح عمران محمد لملوم,0,0,محمد فرج محمود حسين,0,0,صالح عبدالكريم امجاهد افحيمة,0,0,زيدان محمد مسعود ابوحواء,0,0,عامر عمران نصر ابوبكر,0,0,فرج هيبة حسن هيبة,0,0,غيث احمد سيف النصر سيف النصر,0,0,حسين عبدالسلام ابراهيم عبدالسلام,0,0,محمد عبدالله محمد ابوشامخة,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,127,0,0.0,محمد صرار معتوق السبيعي,0,0,ابوبكر محمد عمر محمد,0,0,عبدالنبي سعد صالح عبدالمقصود,0,0,انور الهيشي عبدالله الزيداني,0,0,ابراهيم مصطفى محمد حافظ,0,0,محمد سالم محمد بن غزي,0,0,زائد هدية عطية ابوبكر,0,0,علي مفتاح المبروك العواي,0,0,ابراهيم مفتاح حمد سالم,0,0,فرج علي محمد ابراهيم الدروعي,0,0,جمال فرج امحمد مكادة,0,0,اسماعيل علي محمد العريق,0,0,خميس امحمد الجديد عتيق,0,0,سمير عبدالسلام عبدالله الجالي,0,0,علي الغناي فرحات النعاس,0,0,فتحي احمد محمد عبدالحفيظ,0,0,علي محمد علي ارويحة,0,0,عبدالكريم مصباح علي سعيد,0,0,التهامي محمد علي احواس,0,0,سالم مرعي سالم محمد,0,0,بشير معتوق جبريل مفتاح,0,0,علي كركرة عمر ابوستة,0,0,محمد مفتاح صالح دخيل,0,0,حسن صالح محمد الزرقاء,0,0,رمضان عمران رمضان بومدينة,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,61,0,0.0,عبدالحكيم احميد حسن الاحيول,0,0,اسماعيل محمد بشير اسماعيل,0,0,امبارك عبدالسلام محمد عقيل,0,0,حمد محمد عبدالهادي كرشود,0,0,احمد محمد احمد الدنقلي,0,0,فوزي هاشم محمد هاشم,0,0,مصطفى محمد امحمد العكشي,0,0,بشير محمد احمد الجللي,0,0,محمد علي عبدالجليل الجروالي,0,0,حمد موسى مرزوق محمد,0,0,عبدالهادي السنوسي الحاج احمد,0,0,اسامة عبدالله حميدة الشيخ,0,0,خالد محمد هاشم علي,0,0,احمد محمد حسن ابوالقاسم,0,0,معاد رافع صالح مسعود,0,0,عبدالسلام عبدالله بشير عمران,0,0,احمد السنوسي بشير العربي,0,0,علي محمد علي احميد,0,0,جهاد محمد العربي علي العربي,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,117,0,0.0,خالد ابراهيم محمد احميده,0,0,يوسف كاليكورى قتى سيدى,0,0,علي مبروك خميس احميدة,0,0,احمد الشارف الصغير ارحومه,0,0,خالد حسين ابوبكر عيسى شكل,0,0,خالد علي ابراهيم علي عزاقه,0,0,ادريس حمد ابوبكر محمد,0,0,الفتحي محمد يوسف سالم الفلاني,0,0,محمد احمد عبدالعزيز عمر,0,0,سالم محمد سالم احواس,0,0,ادم حامد مبروك خير,0,0,محمد حسن عمر المنصوري,0,0,جمال الزروق ايوب الزروق,0,0,محمد  الفرجانى  حسن  الوحشى,0,0,محمد بدي حسن كواكواي,0,0,احمد علي الشيباني جلغم,0,0,محمد عبدالسلام محمد عريفة,0,0,سليمان يونس ابوبكر سعيد,0,0,عيسى عبدالسلام محمود قنون,0,0,عمر محمد علي الحميرى,0,0,ابراهيم مصباح الهادي علي,0,0,صالح احمد بالحسن مرعي اعمر,0,0,الصديق محمد عمر علي ميلاد,0,0,سالم احميد علي مبارك,0,0,عثمان احمد مسعود احمد احمد,0,0,خالد مسعود عبدالله محمد صمدي,0,0,حفاف عمر علي الاسود,0,0,جمعة احمد علي دله,0,0,الزروق عبدالله الزروق عبدالله,0,0,احمد محمد علي محمد,0,0,عيسى عاشور احميدة عيسى,0,0,علي عثمان الهمالي نصر,0,0,محمد المهدي محمد عبدالسلام الحضيري,0,0,احمد احمد محمد لملوم عمار,0,0,ابراهيم مسعود ابراهيم صالح اشتيوى,0,0,محمد ابوطبل علي ابوطبل,0,0,يامن احمد علي احمودة,0,0,اسامة محمد ابراهيم الجليدى,0,0,مصباح دومه امحمد اوحيدة,0,0,ابراهيم نصر عبدالله عبدالرحمن,0,0,عيسى السنوسي العمراوى العمراوى,0,0,الكيلانى ابوبكر ابوبكر احجاز,0,0,محمد زقير برجله بوعزوم,0,0,محمد معتوق اجديد محمد اجديد,0,0,حسين صالح محمود عبدالقادر شرده,0,0,صلاح الدين صالح علي زيدان,0,0,ابراهيم مصطفى عبدالله محمد الدلنسى,0,0,ابراهيم علي حامد احمد الحضيري,0,0,يونس ادريس الشارف الشاوش خويط,0,0,احمد ابراهيم عبدالله ابراهيم,0,0,عبدالقادر عيسى احمد العيساوي,0,0,علي حسن بياض علي,0,0,عامر علي عامر سالم,0,0,لامين اشتيوي محمد عبدالرحمن مغاير,0,0,ابوالقاسم احمد الحاج مسعود دادي,0,0,الهادي بشير الهادى علي المبروك,0,0,مسعود عبدالله مسعود احمد,0,0,الاخضر ابراهيم محمد السعيدى,0,0,عبدالسلام محمد حسن غومه,0,0,احمد الشيخ مسعود الرقاب,0,0,اشرف علي حسن علي صقاره,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
