13,108,107,99.0,العربي الشريف الشارف سويسي,4789,كمال سالم حسين بلاعو,1561,مصطفى الهادي محمد امسيك,1145,عبدالمجيد علي ابراهيم الطرابلسي,1141,مصطفى ابوعجيله علي الغنودي,901,الصديق عبدالقادر سويسي العطاب,371,محمد الطاهر سعد المحروق,357,اميرة الجليدي مسعود المجدوب,308,حسني علي الهادي المختار,85,فتحي علي خليفه المبروك,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,127,125,97.0,رمضان عبدالسلام العجمي التويجر,1360,محسن شعبان احمد المبروك,1110,المبروك ضو احمد ابراهيم,971,المبروك علي يونس صوله,930,فرج عبدالله فرج الخليفي,626,عبدالحكيم مفتاح عمار السائح,621,اتبينه امحمد امبارك ابوعواجه,265,عماد عمر امحمد العلاقي,252,احمد علي احمد ابورتيمة,220,هشام سعيد المبروك المشتي,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,260,249,95.0,محمد الجيلاني احمد البدوي,6003,محمد خليفه علي الحواسي,3786,عبدالباسط عبدالغني محمد البغدادي,2946,علي خليفه سالم الدويب,2483,ابوالقاسم محمد عبدالله عبدالله,1376,ناجي جمعة غيث بركات,1359,محمد عثمان عبدالسيد سالم,978,صبري سالم امطير الجاير,758,ميلود محمد سالم  صقر,715,لطفي محمد علي شتاوه,646,نجيب فتحي علي المقطوف,520,عمر محمد امحمد غريبه,507,توفيق المبروك عمر ابوزيد,487,زهير محمد الطاهر ابوشاقور,440,عبدالله ابوالقاسم عبدالله محمد,382,الطاهر الجليدي ابراهيم زقمن,265,يونس ابوعجيلة ابوالقاسم العياط,231,عرفات البهلول عمر القحطار,217,خليفة محمد علي بن علي,205,محمد احموده محمد ابراهيم,185,ضو عمر محمد الاشلح,159,علي محمد العالم الفقي,120,وحيد محمد عبدالجليل برشان,107,اسامة احمد مسعود بالخير,99,محمد سالم امبارك ابوشويرب,56,عبدالحميد محمد المهدي الطبطش,50,علي مفتاح ابوالقاسم احسى,44,عبدالحميد ابوالطويرات رمضان عمر,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,28,28,100.0,القدافي ابراهيم الطاهر ابريدح,496,خالد عليوه محمد عليوه,303,محمد عبدالله سعيد حسن,274,محمد الصادق عبدالسلام مفتاح محمد,235,عثمان عبدالسلام الطاهر عثمان,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,33,30,90.0,احمد علي ابوبكر علي محجوب,1026,مالك عبدالقادر المهدي ابوسبيحة,462,غيث علي محمد ابديوي,345,محمد عيسى الغناي احمد,224,حامد فاضل عبدالرحمن ابورياح,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,37,35,94.0,علي محمد عمر بوسعده علي,1737,المهدي ابوبكر احمد عقيلة,492,ضو احمد علي احمد محمد,252,ابراهيم سليمان محمد عبدالرحمن عريش,145,الزروق عبدالله الزروق عبدالله,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,41,41,100.0,محمد محمد عبدالقادر حبيب,2403,سالم علي الهاشمي منه,297,ابوبكر الصديق ابوبكر محمد ابوجناح,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,36,36,100.0,احمد علي عثمان محمد قوني,579,محمد ابوالقاسم البشير عبدالدائم,433,سالم محمد علي مسعود عمران,359,مصباح عمر ابوبكر عز القوت,232,صالح احفاف ابو قفه احميد,168,محمد عبدالرحمن بشير العياط البوسيفي,132,عبدالسلام محمد ابوسبيحه عبدالقادر,81,احمد عبدالرحمن احمد عبدالرحمن احمد,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,40,37,92.0,عبدالوهاب خلف الله امبيه عبدالرزاق,450,ابراهيم مسعود ابراهيم سالم عبدو,403,حسن محمد حسن عبدالرحمن,212,احمد شلقم عمر عبدالقادر شلقم,195,عبدالقادر الفيتوري منصور ازويغبه,131,محمد عويدات محمد الوليد الشريف,124,غيث مادي ابوالقاسم رمضان,96,خالد ابراهيم احمد الزوي,82,عبدالسلام علي عمر احمد ابو حليقة,71,محمد ابوبكر عبدالله بشير الزوي,71,السنوسي علي محمد اعلي,42,عبدالقادر محمد احموده علي احموده,39,عبدالجواد حماد الهادي حماد,30,علي احمد محمد النكاع,15,يحي علي محمد دخيل,13,مسعود محمد صالح فرحات,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,43,43,100.0,صلاح الدين عثمان امحمد ابوبكر ابوخزام,359,نصرالدين مبارك محمد شعشوع,324,عادل سعد محمد هميلة,290,سعيد موسى سعيد طاهر رحمة,276,العارف نصر عبدالسلام المسطر,222,مصطفى عبدالغني علي شيبة,213,عمر يوسف محمد الناجمي,203,ابوبكر مسعود الزروق ابوجناح,187,عمر احمد عمر عمير,142,ابراهيم صالح سعد محمد,127,محمد البشير علي الاحمر,106,محمد علي محمد مسعود احميد,96,اسعد المبروك محمد الكانمي,80,عبدالله سلطان خميس سلطان,67,ابراهيم مشري محمد بشير,50,ابوالقاسم ابوسبيحه عبدالسلام بشير,48,الحسين ابوالقاسم علي محمد امريغيده,30,محمد مصباح ابو راوي محمد علي,19,اعبيد احمد علي عبدالله محمد,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,32,28,87.0,عبيد الزروق سالم ابوالاسعاد,446,محمد حامد الازهري علي الهمالي,392,خير عمر ابراهيم اللهيبة,245,ابراهيم صالح الفرجاني محمد باللعوب,74,محمد عبدالنبي عبدالله التمتام,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
